continent,country,country_code
Asia,Afghanistan,AFG
Europe,Albania,ALB
Antarctica,Antarctica (the territory South of 60 deg S),ATA
Africa,Algeria,DZA
Oceania,American Samoa,ASM
Europe,"Andorra, Principality of",AND
Africa,Angola,AGO
North America,Antigua and Barbuda,ATG
Asia,Azerbaijan,AZE
South America,"Argentina, Argentine Republic",ARG
Oceania,"Australia, Commonwealth of",AUS
Europe,Austria,AUT
North America,"Bahamas, Commonwealth of the",BHS
Asia,"Bahrain, Kingdom of",BHR
Asia,Bangladesh,BGD
Asia,Armenia,ARM
North America,Barbados,BRB
Europe,"Belgium, Kingdom of",BEL
North America,Bermuda,BMU
Asia,"Bhutan, Kingdom of",BTN
South America,Bolivia,BOL
Europe,Bosnia and Herzegovina,BIH
Africa,Botswana,BWA
Antarctica,Bouvet Island (Bouvetoya),BVT
South America,Brazil,BRA
North America,Belize,BLZ
Asia,British Indian Ocean Territory (Chagos Archipelago),IOT
Oceania,Solomon Islands,SLB
North America,British Virgin Islands,VGB
Asia,Brunei Darussalam,BRN
Europe,Bulgaria,BGR
Asia,"Myanmar, Union of",MMR
Africa,Burundi,BDI
Europe,Belarus,BLR
Asia,"Cambodia, Kingdom of",KHM
Africa,Cameroon,CMR
North America,Canada,CAN
Africa,Cape Verde,CPV
North America,Cayman Islands,CYM
Africa,Central African Republic,CAF
Asia,Sri Lanka,LKA
Africa,Chad,TCD
South America,Chile,CHL
Asia,China,CHN
Asia,Taiwan,TWN
Asia,Christmas Island,CXR
Asia,Cocos (Keeling) Islands,CCK
South America,Colombia,COL
Africa,"Comoros, Union of the",COM
Africa,Mayotte,MYT
Africa,Congo the,COG
Africa,Congo,COD
Oceania,Cook Islands,COK
North America,Costa Rica,CRI
Europe,Croatia,HRV
North America,Cuba,CUB
Europe,Cyprus,CYP
Europe,Czech Republic,CZE
Africa,Benin,BEN
Europe,"Denmark, Kingdom of",DNK
North America,"Dominica, Commonwealth of",DMA
North America,Dominican Republic,DOM
South America,Ecuador,ECU
North America,El Salvador,SLV
Africa,Equatorial Guinea,GNQ
Africa,"Ethiopia, Federal Democratic Republic of",ETH
Africa,"Eritrea, State of",ERI
Europe,Estonia,EST
Europe,Faroe Islands,FRO
South America,Falkland Islands (Malvinas),FLK
Antarctica,South Georgia and the South Sandwich Islands,SGS
Oceania,Fiji the Fiji Islands,FJI
Europe,Finland,FIN
Europe,Åland Islands,ALA
Europe,"France, French Republic",FRA
South America,French Guiana,GUF
Oceania,French Polynesia,PYF
Antarctica,French Southern Territories,ATF
Africa,Djibouti,DJI
Africa,"Gabon, Gabonese Republic",GAB
Europe,Georgia,GEO
Africa,Gambia the,GMB
Asia,"Palestinian Territory, Occupied",PSE
Europe,"Germany, Federal Republic of",DEU
Africa,Ghana,GHA
Europe,Gibraltar,GIB
Oceania,Kiribati,KIR
Europe,"Greece, Hellenic Republic",GRC
North America,Greenland,GRL
North America,Grenada,GRD
North America,Guadeloupe,GLP
Oceania,Guam,GUM
